"";"V1";"V2";"V3";"V4";"V5";"V6"
"N.mean15";743;801;945;976;3807;2839
"N.mean16";987;919;579;576;3764;2897
"N.mean17";759;722;720;656;3089;2605
"N.mean18";796;759;614;562;3113;2427
"N.mean19";643;643;723;665;3376;2356
